Purchase_Date,Total_Amount,Moving_Average,Days,Linear_Trend
2020-01-01,6440.408702150102,,0,5029.533141006823
2020-01-02,5658.294515660815,,1,5029.5286372984965
2020-01-03,2657.1648879120994,,2,5029.52413359017
2020-01-04,6197.956331493258,,3,5029.519629881844
2020-01-05,5310.858138237881,,4,5029.515126173517
2020-01-06,5519.488210355808,,5,5029.510622465191
2020-01-07,3020.105770935338,4972.039508106472,6,5029.506118756864
2020-01-08,7219.597527680464,5083.352197467952,7,5029.501615048538
2020-01-09,6720.585077934324,5235.107992078453,8,5029.497111340212
2020-01-10,6214.0653254830895,5743.236626017167,9,5029.492607631885
2020-01-11,7127.6917786595695,5876.055975612354,10,5029.488103923559
2020-01-12,5428.68613342214,5892.888546352961,11,5029.483600215232
2020-01-13,3029.2981725163095,5537.147112375891,12,5029.479096506906
2020-01-14,3141.815797343745,5554.5342590056625,13,5029.47459279858
2020-01-15,3508.8814024853955,5024.431955406368,14,5029.470089090253
2020-01-16,3395.74614891907,4549.4549655470455,15,5029.465585381927
2020-01-17,8572.354682154033,4886.353445071466,16,5029.4610816736
2020-01-18,4917.251167716818,4570.576214936787,17,5029.456577965274
2020-01-19,5988.854653835814,4650.600289281598,18,5029.4520742569475
2020-01-20,1770.2001639727155,4470.729145203942,19,5029.447570548621
2020-01-21,10987.662494493665,5591.564387653931,20,5029.443066840295
2020-01-22,4381.62440792593,5716.24195985972,21,5029.438563131968
2020-01-23,5626.432941432793,6034.911501647395,22,5029.434059423642
2020-01-24,2601.4666879967526,5181.92750248207,23,5029.4295557153155
2020-01-25,13255.825483460947,6373.152404731231,24,5029.425052006989
2020-01-26,4175.860975918023,6114.153307885833,25,5029.420548298663
2020-01-27,2019.8515771839452,6149.817795487436,26,5029.416044590336
2020-01-28,7912.819285687496,5710.554479943698,27,5029.41154088201
2020-01-29,2011.0273470426148,5371.897756960367,28,5029.407037173683
2020-01-30,7173.452811376159,5592.900595523705,29,5029.402533465357
2020-01-31,5664.289423854064,6030.446700646178,30,5029.398029757031
2020-02-01,1679.0384277390522,4376.619978400194,31,5029.393526048704
2020-02-02,4663.076362569909,4446.22217649332,32,5029.389022340378
2020-02-03,2194.3806658824165,4471.154903450245,33,5029.384518632051
2020-02-04,8586.464709958893,4567.389964060444,34,5029.380014923725
